SquareFootage,Bedrooms,Bathrooms,Price
1073,2,1,279279
1306,4,3,482051
2321,2,1,175861
1910,2,3,391334
919,2,2,240059
2002,2,3,477050
1322,3,2,192568
2471,3,1,437397
1129,2,1,465639
736,5,1,448045
2422,5,2,202279
1331,2,3,378557
1588,3,2,421236
918,2,1,266184
1248,4,1,311963
1479,1,3,453574
1503,2,3,428451
2089,2,2,122708
1392,4,2,404038
2136,5,3,422049
1041,5,1,443648
1667,5,3,344653
2049,2,1,386824
1636,4,2,158838
788,1,2,493112
2259,2,2,394924
948,5,1,396078
2336,2,1,432876
2035,2,1,137760
744,3,3,303907
2490,4,2,254285
1619,2,2,136178
1791,1,2,182472
770,1,3,420729
528,2,2,104130
638,4,2,481710
660,1,3,380573
2114,2,1,439513
2032,4,3,457392
1064,2,3,150109
1807,2,2,427416
549,2,3,450383
2037,1,1,473096
1028,3,3,362689
645,3,3,367684
1768,4,3,294341
525,5,2,389518
602,5,3,298563
511,2,2,332187
777,5,2,330382
2350,1,2,194505
1875,5,2,257831
1676,5,2,481869
688,4,1,161651
2473,4,2,301543
1326,5,1,430046
1621,5,1,169581
2473,1,2,122754
2323,2,1,210665
2077,1,1,258192
1307,3,3,124398
1622,1,3,311060
2155,1,1,259755
1293,4,1,303459
1709,5,3,171093
2144,1,3,424238
1114,3,1,210252
1637,3,1,144970
528,2,3,210106
2206,3,3,113164
960,2,2,293104
1168,5,3,299094
2486,3,1,437022
1091,3,3,267948
1411,2,2,251492
2050,4,3,164865
639,4,1,192172
1320,3,3,320790
857,2,1,324861
2089,4,1,372508
2359,5,3,326209
1278,1,3,249325
2336,1,1,387083
2119,5,2,269055
1770,5,2,168865
1128,3,2,414332
2214,5,1,479083
1767,5,3,271696
2014,4,2,224690
788,4,1,468736
836,1,2,486165
758,1,3,316118
1341,5,3,265860
1923,2,3,233040
846,4,2,302293
2162,4,3,381354
2388,2,1,343780
1148,2,1,224616
1128,5,3,139964
2083,5,3,269892
971,5,1,393127
789,5,2,198267
946,2,1,245987
1475,1,3,329868
1868,3,1,360848
853,5,2,283030
2265,5,2,287092
686,1,1,248295
1386,3,1,209137
2047,5,1,195288
952,2,1,295674
2016,2,2,282091
1515,5,1,235325
596,3,3,487987
530,2,1,280529
839,2,2,322902
2190,5,3,117826
1958,2,2,372516
2250,4,2,488717
1624,5,2,204003
1838,2,2,201437
1247,4,2,194646
865,1,3,373706
539,3,2,463824
1454,2,3,195635
1946,1,2,383038
784,1,2,446015
914,3,3,319513
1293,3,2,334459
595,3,2,250115
2310,1,2,195947
1719,1,1,259685
1454,4,2,213208
2020,3,1,275839
1952,3,1,360423
1622,1,2,415681
2283,3,1,454963
981,5,1,199997
2206,5,3,354538
712,1,3,442087
973,1,1,462672
1058,4,3,100076
1567,2,3,396896
589,1,3,435098
888,4,2,474954
2392,3,1,378911
1075,2,2,367163
1409,2,2,180162
1078,2,2,411658
876,5,3,462133
1128,2,2,305709
2099,5,2,306572
1342,3,1,227147
1155,1,1,294136
1286,1,1,313774
1881,1,3,326281
2126,2,2,396087
572,4,2,426246
1744,5,3,178394
2248,2,1,357269
865,4,3,461973
2413,2,2,281514
634,1,1,359629
1633,4,1,129953
2488,5,1,496084
1741,4,1,179262
1713,4,3,318028
1415,3,2,495281
2181,3,3,355388
691,3,2,147664
628,1,2,274932
863,1,2,108434
599,5,1,345415
1267,5,2,453428
1435,5,2,233434
1750,1,1,233024
938,4,1,264595
1363,4,2,455484
640,3,3,412017
1990,4,2,171612
2449,5,1,107432
2130,4,1,462065
661,4,2,476281
2178,1,2,477714
1958,4,3,204104
560,4,3,326023
1106,4,1,486138
2482,5,2,171899
1450,5,2,346019
2088,2,1,339693
1820,1,2,285277
1458,3,3,160078
2044,3,2,362667
591,1,3,240439
2063,3,3,335464
1474,5,1,151317
987,3,2,146573
2108,2,1,304512
1536,5,1,196331
1265,2,1,145396
1479,4,1,407847
1829,3,1,404809
833,4,2,410817
2101,2,3,223848
1982,2,1,470738
555,4,1,385451
664,1,1,277457
1806,5,1,309858
1534,5,2,194572
634,4,1,216916
1340,3,3,316646
1233,3,1,385926
1024,2,2,487601
1067,5,1,102975
1106,4,2,470642
1124,2,1,174799
2094,4,3,192162
1790,5,3,436116
724,3,1,491916
1135,1,2,127769
2481,5,2,340914
2278,5,1,408869
619,4,1,485798
2173,2,2,146512
1757,3,1,213172
2000,5,1,262073
1941,4,2,256717
2290,5,2,167066
1806,2,2,103043
1956,2,3,347679
1743,1,2,498913
780,4,3,303778
1692,3,3,200357
2194,4,1,334515
2300,5,1,438109
2346,4,2,111712
500,4,3,164480
819,3,3,130904
1181,5,1,457778
2363,1,2,216915
1226,2,1,303135
2136,4,3,261513
2171,4,3,200467
1355,3,3,204749
1254,4,1,172329
999,3,2,197722
869,2,1,297007
1525,5,3,255178
1042,4,1,355189
1108,5,1,382499
1677,2,1,447041
890,1,1,245605
2327,4,2,494179
524,3,1,423107
1330,1,2,394001
1626,3,3,113564
1197,5,2,385861
2455,5,2,308265
1647,3,1,187800
948,5,2,146079
1533,2,2,278881
749,5,1,286940
2179,5,3,144016
513,4,2,457857
866,4,3,485008
1177,3,2,250881
1459,1,2,239771
1761,5,2,460342
1407,2,2,230655
1863,3,3,377723
932,2,1,310740
1191,2,2,335050
2330,4,2,320930
771,4,1,217493
2433,3,3,176017
1566,5,2,210924
998,3,2,198171
726,5,1,471359
747,4,1,263673
894,3,2,182121
2366,3,2,295143
1232,5,1,182851
1530,3,1,111353
1055,1,1,318363
733,1,3,263135
935,2,3,382226
2374,4,3,259761
1678,2,2,202530
587,2,2,215518
2367,2,1,127306
1866,1,3,253020
1794,3,2,315768
2323,4,1,150670
1201,4,1,383373
2069,4,3,185764
2022,1,1,480103
718,5,3,194609
959,4,1,238754
794,4,3,452548
1790,5,1,378024
1836,5,1,130138
1580,1,3,164190
2110,1,3,298830
821,2,1,102583
1141,2,2,247454
1737,2,3,479030
2253,1,2,304952
2267,2,2,258150
640,3,3,180315
1589,4,2,323468
2315,2,3,108472
1060,2,3,462778
2351,5,1,499141
2031,4,1,389216
1288,4,2,273458
1541,3,2,382692
1974,5,2,187298
1459,2,1,420835
507,2,1,195332
2205,2,3,463966
2086,4,3,221598
1244,5,3,107243
1953,2,1,122816
1115,1,3,224635
1879,2,3,230825
1485,5,3,210491
2129,3,2,480112
1440,2,3,443584
1464,1,2,288499
908,2,1,110152
1579,3,1,299420
1653,5,2,362516
1356,3,3,304735
761,3,3,103608
1799,4,1,165431
2492,3,2,111971
1354,3,1,306534
1888,2,1,351097
801,5,2,217519
973,5,3,443351
1010,3,2,411409
2272,1,3,298789
867,1,1,257423
1077,1,1,344893
2015,2,1,111780
1908,2,3,177502
1905,5,2,238884
2021,3,2,136152
1668,3,1,138896
1237,3,3,243309
743,4,3,318938
1202,3,1,227723
1497,5,3,265219
814,2,3,168197
733,1,2,296443
875,3,1,221375
607,2,3,130176
1186,1,3,462857
1393,1,1,438141
992,1,2,192878
2182,5,1,252252
794,3,2,371597
2015,1,2,477418
923,4,3,131329
1873,4,1,317367
2169,1,3,260926
1298,1,1,359182
2228,4,2,342754
1784,5,3,447408
1173,2,3,459980
2121,5,1,476856
1210,4,2,242345
1574,5,2,275433
2338,2,1,449160
1800,4,1,172477
1326,5,2,250797
2096,2,3,232682
1544,3,2,135301
1098,3,3,366754
848,4,3,172575
1966,5,1,131944
1651,5,1,430388
1852,1,1,228337
854,2,1,471901
1400,5,1,380418
1659,2,1,486738
2106,1,1,425176
1444,4,2,430007
2121,2,2,391222
1922,3,3,472722
1497,1,3,345626
1000,3,1,113131
681,4,3,120702
1547,2,2,274658
2402,5,2,382177
578,2,1,427524
741,3,2,226727
867,2,1,304628
1303,4,3,289370
1378,1,3,215222
1941,5,1,197217
1851,3,2,482387
1444,1,3,176425
2256,5,1,444717
1784,3,2,244964
1262,1,2,350963
2105,2,2,277602
1329,4,3,113690
1640,2,3,326867
854,3,1,324052
2348,3,3,274683
561,1,2,494632
717,5,3,314107
2136,1,2,179281
1147,5,3,212007
2180,5,3,266436
527,3,1,386062
1104,2,3,215040
1355,1,1,109934
2283,2,3,481435
1561,3,3,296056
610,5,1,386490
2377,3,2,153841
683,4,3,162955
1991,1,3,224863
634,3,3,246242
1982,3,1,464943
2471,1,1,331178
1205,4,2,288366
2424,5,2,109591
2261,1,2,336112
1967,3,3,188917
614,4,3,466356
757,2,3,337144
786,4,2,317816
2364,5,2,220351
641,4,1,209972
2142,3,2,421583
1931,4,2,114083
2342,2,2,157801
1114,4,3,115028
1124,1,3,401210
2053,2,1,248596
1809,4,3,226351
2133,1,1,406505
1040,3,3,351487
919,4,2,205271
971,2,1,439459
1279,5,3,306334
1018,2,1,435983
1769,5,3,259853
825,5,1,339139
1997,5,1,446160
728,3,1,356941
1316,4,3,409042
1415,4,3,325402
2136,3,1,469021
2250,4,1,135878
1195,3,2,117556
1436,5,1,294288
1081,5,3,445310
2452,2,2,442843
2481,3,2,194860
1960,1,1,367617
2327,3,1,338840
2047,3,3,125484
644,4,1,276976
1082,1,3,434694
1688,4,2,390067
2232,1,2,107111
2249,4,1,147144
1776,2,1,261499
2480,4,3,234317
1615,3,1,427986
1715,3,3,351092
1636,4,1,295911
2184,1,3,335054
610,2,1,262711
1758,4,2,469164
2078,3,3,232989
1760,1,3,117903
1488,3,2,443619
2272,4,3,471985
1740,2,2,474229
1890,4,3,117132
1785,2,2,486641
1930,5,1,150099
681,1,3,169539
1547,5,3,155230
2088,3,3,233574
1117,4,3,404971
1228,3,3,153019
1546,3,1,376011
649,1,3,323911
1714,2,2,229238
2411,5,3,232769
2260,1,2,248711
1874,1,1,424237
1075,2,3,164243
933,1,2,388471
882,3,2,232554
934,4,3,255742
1580,4,1,250162
642,2,2,314991
1425,3,3,303276
1827,2,3,327592
2113,1,2,483893
1881,4,2,366499
1819,4,2,136289
876,3,3,217399
1890,3,2,185033
1173,3,2,131798
2103,4,3,454896
2002,4,3,214513
1415,3,1,341033
1779,3,3,145266
1538,2,2,225381
1449,4,2,470130
826,2,1,449280
1583,3,2,424791
2220,2,1,289405
1149,4,2,438008
2478,3,2,414079
945,2,2,296116
1057,3,2,145275
2183,4,3,366617
1070,1,2,201917
1219,5,2,454172
1980,4,3,144410
2339,4,3,336421
1118,1,2,438961
1841,2,1,193432
2366,5,1,289362
597,2,3,204315
900,4,3,223800
1305,4,1,348360
1812,2,2,391060
881,3,3,183481
889,3,1,115870
860,1,1,382009
2075,5,2,146636
903,4,1,196708
1625,4,1,454567
702,3,1,286134
531,1,3,394209
1292,3,2,453006
604,2,1,210676
2188,3,1,345660
1252,1,2,399928
2242,2,3,354765
2222,3,3,246713
2032,4,2,125965
1019,4,3,174283
1438,5,3,202479
1750,1,2,397318
1905,3,1,425440
1798,3,2,126610
1575,1,3,143418
1011,1,2,236741
1367,2,1,430444
829,2,3,442504
1220,3,2,484527
716,2,3,242443
985,2,3,296815
2423,4,3,244500
1248,3,2,216128
1755,5,2,272958
1933,2,3,494141
2221,5,2,352271
550,1,3,113044
2024,4,2,477425
1676,1,3,402145
2306,5,1,207143
2135,1,2,466579
2139,5,3,249278
1665,2,1,411917
1991,2,2,229306
2142,3,1,314596
552,1,1,211206
1944,3,2,387489
821,4,1,405925
1114,1,2,146193
1464,4,3,278719
924,4,2,327751
1578,5,3,458192
1968,4,3,210584
1288,4,1,247581
2139,2,3,315291
1761,1,2,448621
1720,1,2,327698
1086,4,3,401190
1545,4,2,183346
2056,3,1,469049
855,2,1,305145
2210,5,3,373613
2062,3,3,282700
2338,3,1,200689
633,4,2,269398
629,4,1,110938
2345,2,1,330513
2198,3,3,103684
1146,5,2,141502
2394,5,2,183652
1149,2,2,462900
673,5,2,116078
2026,2,2,253422
760,2,2,231586
2250,2,3,336067
2033,2,1,226023
1426,2,1,387657
811,5,2,197199
1924,1,1,418582
918,5,3,337657
699,5,1,302787
1754,4,3,295419
1669,2,2,282390
1683,4,1,249544
568,5,1,474103
1583,3,2,425709
622,4,2,280842
2069,5,1,116998
1828,2,2,349731
2401,5,3,166678
2150,3,3,234169
979,5,2,340230
955,1,2,464032
1451,2,2,405783
1670,2,3,278735
955,4,3,161464
1360,3,1,189749
1130,4,2,339054
727,4,2,181818
641,3,2,447770
564,2,3,242850
2208,4,2,180578
697,4,2,478594
772,5,2,437798
2494,1,2,457677
2065,5,3,402802
1953,4,2,366520
584,4,1,134972
1575,1,2,368261
1549,2,1,390494
2218,2,2,347539
2148,1,2,194021
721,2,2,370663
1228,1,1,207978
1943,5,1,128577
925,3,3,185863
998,2,1,439161
2271,4,1,157868
1612,4,1,295307
1786,4,3,303829
1326,2,3,385122
1733,3,3,259271
2082,3,3,355357
1170,5,1,141178
1405,1,1,317328
1444,4,3,387339
854,5,2,496547
1199,2,2,463806
2440,4,3,166469
1674,3,3,419780
684,1,2,478698
1909,2,2,101750
1053,4,3,309262
1056,4,2,133733
1234,2,2,483806
2003,4,1,389526
798,4,2,306798
1183,5,1,245015
1665,5,1,263063
1045,3,3,172037
761,2,2,273073
2150,2,2,457416
1611,5,2,335038
1761,1,1,371623
2248,2,3,274129
1511,4,2,130954
2210,1,1,293645
1603,3,3,107675
1071,1,3,181113
1848,4,2,407906
1152,5,2,339267
852,5,3,290016
1051,3,2,210295
901,3,1,245757
2239,3,2,264492
1856,2,2,381057
2305,5,1,172749
812,1,2,494070
1181,2,3,152118
1319,1,2,416565
833,4,3,387855
1439,3,2,127248
1280,1,3,445241
802,5,1,233618
1014,5,3,465644
1830,4,3,221574
641,4,3,451303
1118,2,2,308337
1127,4,1,104215
563,1,3,459544
1513,2,3,115258
2170,5,1,259182
659,3,2,297236
2168,5,2,296357
1791,3,1,163577
2177,3,2,134024
862,3,1,459690
2032,4,2,180199
796,4,3,126973
1981,3,3,115583
2181,2,3,213682
943,2,3,348304
1808,2,3,463384
756,4,3,224501
2195,2,3,446152
515,2,2,248729
782,3,3,232296
1350,5,3,470242
1415,2,3,480449
843,4,1,267315
686,2,2,437291
1937,1,1,466410
911,2,2,348980
1084,2,1,388126
831,1,3,334473
1274,4,3,367657
1291,3,2,359766
2289,2,1,123743
2158,2,1,288945
2456,4,3,320701
664,3,1,173494
1627,5,1,215591
955,4,3,256187
510,4,3,186703
1081,2,2,468549
1211,1,2,426288
589,5,3,201197
1865,2,3,351533
2201,5,2,440407
1768,2,1,187269
1651,2,3,231347
953,1,2,283672
1594,4,2,128376
2444,1,1,322228
1867,3,1,334672
1165,3,1,213433
1235,3,3,199083
2452,1,3,471258
928,4,1,378020
881,2,2,126807
1821,4,3,279528
2276,1,3,230891
1922,3,1,483141
2382,4,1,341836
1766,1,2,289385
965,1,1,365623
1580,1,1,165720
2298,2,3,418262
944,2,3,129158
1276,4,2,310672
1834,3,3,165742
1077,4,1,380886
919,1,2,338831
1834,2,1,184599
920,3,3,277698
2307,4,3,262036
2038,3,2,197950
706,1,3,184226
1677,5,1,400980
1125,3,2,288296
507,3,2,486000
772,2,2,385607
829,2,3,436081
1785,2,2,379522
530,5,3,481827
2051,2,2,128177
895,5,3,400509
2010,1,2,206049
835,2,3,181815
1197,5,1,225487
1861,2,3,146485
2328,1,2,265387
853,5,1,215212
1947,5,1,386503
566,4,3,277835
1797,2,1,397659
2332,1,1,231455
1126,5,3,218028
2065,2,3,115022
1865,5,2,271491
1524,4,3,149841
2446,2,2,389495
2322,1,3,287816
1486,4,3,440666
2364,5,3,415312
1626,1,2,189120
2492,5,1,194274
2268,4,1,294492
2371,2,2,166528
1615,2,1,472676
983,1,2,478508
1833,4,3,160691
573,4,2,295246
1319,1,2,409102
2088,4,3,448168
1303,2,3,277900
1880,4,2,167502
1654,5,2,350001
1745,4,1,119852
1022,1,2,318158
672,1,2,343081
1492,1,3,415014
2230,3,3,317390
1989,1,2,288792
2275,2,3,192526
586,1,1,336705
2214,2,3,450873
1876,1,3,249311
1277,2,1,237972
1847,4,1,311775
1029,4,2,462770
2135,4,1,187939
1013,2,1,420010
1800,4,2,300424
1352,4,2,295528
871,5,3,351640
1164,4,1,464758
1315,5,3,304468
2016,4,1,470878
1045,3,2,400552
1078,2,3,386286
610,2,1,328496
2447,3,3,348786
697,4,2,253472
1633,5,1,279413
1128,2,3,149853
2000,2,2,294013
1164,4,2,127006
2396,5,2,458811
940,5,1,367514
1975,3,2,373026
1469,4,1,323504
2460,3,3,203688
1095,4,3,104201
1208,3,2,454764
2307,3,2,129708
1351,2,1,336518
846,5,3,190146
937,5,2,377508
2337,1,2,343015
1155,4,3,288094
2386,3,2,144532
909,4,2,106439
2192,2,1,120295
730,3,1,133599
848,1,3,231656
980,5,1,145869
2293,4,2,222968
1386,3,1,208972
2219,4,2,179268
716,1,2,363096
1467,1,3,129236
586,5,1,161044
720,5,2,233209
2402,2,2,363536
2327,4,3,266459
1235,1,1,213789
1805,1,3,248416
2306,1,3,185660
1714,3,3,285590
1693,1,3,228054
1197,5,2,260798
1095,4,2,391615
2230,5,1,314044
943,1,3,136447
998,4,3,446959
1807,5,2,180608
2016,5,1,450114
532,2,3,447658
1923,4,2,231177
774,3,2,416349
1784,3,1,416309
1621,1,1,265495
1615,2,3,483795
2173,3,1,202576
1228,1,2,256976
2294,2,2,300382
1746,5,2,289312
829,4,3,236254
1864,3,2,113021
863,1,1,267049
1520,5,2,145170
1226,5,2,432147
1523,1,2,414533
648,3,3,204623
1734,4,2,369743
1274,2,2,297281
1150,3,1,488915
1535,4,2,416938
1849,5,3,146428
786,4,3,256101
2051,4,2,186422
1542,2,1,446867
1963,4,1,357071
1390,3,2,367862
822,2,1,254782
1354,4,1,199966
1282,1,3,462637
930,3,2,475918
2257,3,2,370194
771,5,3,303860
618,1,1,185125
1504,2,2,473304
1145,3,2,177627
1875,1,1,453277
1349,5,1,235618
2026,1,1,344460
1153,2,2,122413
957,2,3,351905
602,4,2,170412
707,1,3,411493
2271,2,1,149036
1130,4,2,324306
612,4,3,457345
1156,1,2,491993
648,4,1,237069
2167,5,2,421913
914,1,2,259557
2468,5,1,213819
727,3,1,412156
2234,2,1,460589
2304,5,2,462671
2200,3,3,135037
537,2,3,411348
2471,1,2,394614
2046,5,1,357562
2460,1,3,328770
1704,3,2,419255
1222,2,2,382727
2236,4,1,408024
2182,3,3,391996
694,4,1,207449
842,4,2,484166
2257,3,1,435131
1567,3,2,301528
1689,4,2,399700
639,4,3,414157
2098,2,2,411353
1297,2,2,314493
1645,5,3,343581
946,1,1,143956
980,2,3,422016
712,4,2,433231
2103,1,2,301516
1548,1,1,343396
1846,2,1,307906
2000,5,2,226006
799,2,2,265324
2139,4,3,469200
965,2,1,272785
774,4,2,416306
2236,4,3,160445
698,2,2,386300
594,5,3,341868
2167,1,1,260210
658,2,2,404580
1696,2,2,144773
1877,3,3,118354
1383,2,3,288432
1184,5,3,233727
616,1,3,422524
937,2,1,432002
1584,5,3,199008
1255,3,3,327321
1806,1,3,243200
885,3,3,441844
2293,1,2,159913
2240,2,1,278762
509,1,3,382751
733,3,3,388913
694,1,3,223075
641,3,3,153106
1564,5,1,191501
1500,4,2,442954
1817,2,1,301212
1383,2,2,335427
2319,2,1,391873
573,2,2,306771
961,3,3,415681
733,2,2,249286
2228,5,3,298458
1281,3,2,150550
1706,4,1,127350
1766,3,3,475112
2078,4,3,101027
1194,1,2,183889
2269,3,2,492051
1813,1,2,379722
1657,5,2,108893
2055,4,2,342976
1621,2,3,484294
995,1,1,477228
656,1,1,269196
1906,3,3,251242
1526,4,1,136071
1592,1,3,381530
1392,3,3,347081
2425,2,3,261581
918,2,1,204831
551,1,1,360836
504,1,2,181191
1360,5,2,125917
1990,1,3,454644
2024,1,2,196453
2204,2,2,437784
979,5,3,431920
1526,3,1,223182
642,2,3,322440
1153,2,3,351979
1509,1,3,275149
2034,5,3,311022
601,2,1,452691
720,5,2,297990
1302,4,3,147088
2369,2,1,227144
1620,5,1,472840
2272,2,1,269913
1354,1,3,228541
2268,5,1,382275
2413,2,1,477472
1596,2,1,268438
1288,4,2,441656
2157,4,3,251393
1953,5,3,407995
1197,2,1,397286
1153,3,1,296646
1892,1,1,117486
2235,4,2,227533
530,5,2,370144
2143,3,3,384150
655,3,2,101062
2057,3,3,492890
1428,1,1,257159
1010,1,2,247563
952,4,3,105212
1111,1,1,488855
1744,2,1,213859
1312,5,1,241192
1744,1,2,129757
986,4,2,164720
1967,1,2,238975
599,5,1,217684
1971,1,3,202297
1790,1,3,210939
712,1,3,436052
1894,5,1,209643
1374,2,3,435846
598,1,3,447553
691,5,1,400891
754,1,1,379657
1491,1,2,225811
1619,5,1,481725
1904,1,3,128791
972,2,1,384294
2235,5,3,439528
2122,4,1,466212
652,2,1,432128
1071,2,3,394560
1558,1,3,489493
2194,2,1,476905
1332,5,1,118170
1805,2,3,198077
1356,3,3,121045
1165,5,1,342070
1996,1,3,341544
1277,4,2,310436
1428,2,3,293933
1089,3,2,111811
600,4,2,387948
1096,4,3,259694
1041,5,3,152932
1271,1,2,280607
2328,1,2,114078
1693,2,2,485169
1026,3,2,162807
504,2,2,140011
1672,5,1,196844
2223,3,2,111821
2266,4,3,294035
729,5,2,431063
647,2,3,298591
1759,4,3,314908
1043,2,1,108216
532,2,1,212400
2430,2,3,262509
1905,4,3,443999
1707,2,3,444709
2261,3,3,336053
1023,4,3,460633
898,5,1,219263
2271,3,1,137302
1913,1,1,140279
2137,1,3,342965
1435,4,3,310692
2307,4,3,251561
1460,4,1,238128
1467,4,1,110917
1920,3,1,448465
1741,3,1,355890
1876,2,2,295768
1905,5,3,326391
2188,5,1,222735
1909,1,2,172474
641,3,2,225806
1145,2,2,368529
1666,3,2,246880
2324,4,2,223057
2289,5,2,494002
522,1,3,306684
566,3,1,226662
2100,5,3,174179
2132,3,1,402532
2384,3,1,451305
2368,5,1,226798
1058,1,3,405435
2115,5,1,381753
2297,2,1,101231
1983,5,2,138559
1402,4,2,467785
1212,1,3,281490
1017,1,2,169247
1343,5,1,461458
1482,1,2,488781
2252,1,1,132671
2397,1,3,342911
1176,3,3,372436
2465,5,1,162455
2262,4,2,312737
2219,2,3,225584
1815,5,2,362845
945,3,2,245020
924,3,3,301110
1630,3,1,103745
2169,1,1,212186
2258,5,3,320714
638,1,3,269751
1884,1,3,406019
786,3,3,188553
782,5,1,408338
2198,1,1,435840
2412,3,3,260585
2015,4,2,424137
1312,3,2,221292
1756,1,3,208217
511,4,1,394615
1199,4,1,397768
1401,4,2,152733
1217,5,2,499962
2009,5,2,297762
1118,1,2,208548
1925,2,2,404942
1987,5,3,112300
1577,3,1,326588
1837,5,2,359595
1183,1,3,371555
2120,2,1,473494
1750,3,3,143913
1276,3,3,413560
2148,5,1,102937
1481,1,3,167820
1737,3,2,489745
1948,1,1,210659
1185,5,1,427100
2428,1,2,107259
1226,4,3,213857
795,2,2,135277
1816,3,1,370401
543,2,3,228351
763,3,2,168599
2222,5,3,101498
569,5,3,430360
1971,4,3,153684
763,1,3,178240
802,1,2,252496
1550,1,2,108102
635,5,1,335625
2296,3,1,361792
1157,2,2,253997
1775,1,3,122118
561,4,3,280928
2368,5,1,438590
616,5,3,228568
2256,4,1,251285
2303,3,2,263590
667,1,1,297503
1831,4,1,457574
985,4,3,364661
705,3,1,262911
1510,4,2,359172
704,1,2,204708
2391,2,2,206172
1051,1,1,374826
1645,5,2,291615
858,2,1,369591
1665,4,3,100383
2377,4,2,216145
1039,2,1,274206
2112,4,3,271549
1664,1,1,186962
1254,2,2,230810
1347,1,2,164887
1248,5,1,335783
1994,2,1,264863
2465,1,3,120580
1592,1,2,417285
856,4,3,359628
2127,4,2,209116
1161,1,1,353666
2195,3,1,463243
1805,4,3,352644
866,1,1,236936
1546,4,3,178362
769,1,3,323736
863,3,3,435300
997,3,1,481019
1505,5,1,102933
1134,5,1,196889
2338,1,2,358474
1546,4,1,153376
846,5,3,451055
603,3,2,302332
694,1,1,207160
958,5,3,354688
1100,3,3,236586
2375,4,3,104340
1476,1,1,323009
1734,1,3,455431
2297,3,2,448282
2477,3,1,473016
509,5,2,461463
1403,5,3,370265
1692,4,1,463934
1711,1,1,243825
1411,2,1,323514
1677,5,2,441952
1001,5,1,191531
2082,5,1,140252
978,1,1,465278
1328,4,2,208205
1015,1,1,398666
1359,3,1,143592
2235,4,2,350604
1904,5,3,471277
771,2,2,121632
541,3,2,214930
902,1,3,410719
1385,2,3,330773
1720,1,3,416985
521,4,3,411785
650,3,2,430481
1995,5,3,285146
1344,3,3,206780
1592,3,3,481601
1623,3,1,322967
1455,5,3,131758
557,2,2,459229
2013,2,3,492524
802,1,1,348255
2345,4,2,263781
597,2,1,190764
547,1,2,323517
691,3,2,174457
2245,3,2,425244
583,4,3,462333
689,1,3,123623
645,4,1,392161
2376,4,1,155299
1904,3,2,364792
1114,1,2,445616
1230,1,1,483781
546,3,2,462168
1509,5,2,345289
597,4,1,216661
2414,1,1,113107
1758,1,1,429045
1485,4,2,371145
1597,5,3,425682
1814,1,3,316988
866,5,1,442559
1454,1,1,123866
2090,5,2,289908
594,2,1,380256
2369,3,3,149649
718,5,2,480250
671,4,3,415146
1550,3,2,143519
997,4,3,310882
2494,3,2,417544
646,3,3,166741
2215,5,2,427199
2236,1,1,250279
1512,5,1,356380
1580,3,3,182423
2238,5,1,205713
1239,2,3,358694
1455,5,3,300217
708,2,2,214216
1836,4,1,145252
1761,2,3,225424
839,5,2,329096
2027,4,2,280753
711,2,3,130616
978,5,1,453502
905,1,3,189575
1170,5,3,384959
1610,1,3,442760
821,1,2,124493
988,1,3,252297
1169,3,2,316969
1499,5,1,327277
749,5,1,289742
562,1,3,176510
1767,5,3,117227
1200,4,3,456391
1530,1,1,319725
1326,3,2,173034
1277,3,2,345392
2018,4,3,407809
1618,1,3,458511
2324,1,3,472389
926,3,2,450110
1784,5,2,205322
1608,3,1,124418
2187,1,2,441867
1795,5,3,319120
1368,2,3,210843
579,2,2,395237
1461,5,2,123194
780,5,1,161239
543,2,3,143099
1912,1,3,249741
2131,2,3,455515
1373,4,3,288253
2429,2,3,273102
1384,3,1,201751
1851,1,3,281869
1888,4,1,109002
1799,1,3,337301
2127,1,2,124527
2010,3,3,327919
908,5,2,483316
557,4,2,274046
2246,2,3,390190
1347,1,2,164108
1169,1,2,448580
1828,4,1,210000
2095,4,3,189430
1810,2,3,210624
534,2,1,303099
573,4,1,183199
1054,3,1,402659
1863,4,1,261880
530,5,1,118542
1244,4,1,486657
2242,4,3,273338
1573,2,1,225804
832,4,3,441748
1210,1,1,368556
1758,3,1,378520
1305,3,3,482995
849,1,1,117788
1224,3,2,176845
1704,4,1,270547
1900,2,3,195173
2446,3,1,265258
1336,1,3,498336
1132,4,1,457852
1140,1,2,357679
1316,3,1,447789
1394,3,2,358354
1062,5,2,242985
1704,3,3,248956
1098,1,3,493032
780,5,2,189207
2357,3,2,470870
680,4,3,345298
683,5,2,426064
942,5,3,179983
2199,5,2,346855
2136,3,1,467379
1493,1,2,366140
2061,3,1,276201
858,3,1,359684
1677,2,1,371994
862,1,3,219012
1330,4,1,124569
1247,2,2,319774
1339,4,2,473113
2351,4,3,441410
1365,2,1,437095
1765,1,2,162210
1827,1,3,214777
675,2,3,313569
893,1,1,267878
2169,2,2,308789
1138,2,1,448826
2012,3,1,138682
2428,4,2,334793
2367,2,1,358322
871,4,3,442756
1302,3,1,340313
1326,1,3,466367
1487,2,3,258529
1963,3,2,207102
2096,5,3,422114
2208,3,3,486703
1949,3,2,235453
1171,4,3,383944
1838,3,2,191794
2047,3,3,310201
1295,4,1,383693
1503,1,3,295485
838,4,3,492246
693,2,1,371741
2378,3,1,417954
1837,2,3,356973
1828,5,3,466741
1450,4,1,333332
1724,2,3,405939
763,2,3,331022
539,5,3,300867
1405,4,3,497377
1394,1,1,108021
